strategy,ticker,buy_date,pnl_pct,runup_pct,bucket
A,2421,2022-07-25,11.42,26.2725839737396,2.10~50%
A,1513,2022-08-01,10.0,34.373918066739826,2.10~50%
A,3661,2022-08-15,0.69,41.0256339854763,2.10~50%
A,3081,2022-08-22,-3.65,92.43960117390692,3.50~100%
A,6533,2022-08-29,8.02,66.66666666666666,3.50~100%
A,3533,2022-09-19,-1.34,47.4925711194964,2.10~50%
A,2368,2022-09-19,15.08,26.929084261232173,2.10~50%
A,2368,2022-09-26,-8.59,39.75164474030738,2.10~50%
A,2368,2022-10-03,-9.82,23.423849865986522,2.10~50%
A,2353,2022-10-03,-2.19,5.811132303469499,1.0~10%
A,2337,2022-10-17,-3.04,12.22030736567938,2.10~50%
A,3289,2022-10-17,-7.41,40.926639765848726,2.10~50%
A,3034,2022-10-24,-5.04,18.26921912616899,2.10~50%
A,2421,2022-10-24,5.72,18.972891297545484,2.10~50%
A,3035,2022-10-31,14.45,19.83122780313155,2.10~50%
A,3529,2022-11-14,3.95,52.19720307212042,3.50~100%
A,6533,2022-11-14,3.03,71.05263357002455,3.50~100%
A,3105,2022-11-28,-2.78,48.37207639172572,2.10~50%
A,6510,2022-11-28,17.81,25.581392958750232,2.10~50%
A,6223,2022-12-05,-10.12,68.38708683767533,3.50~100%
A,3587,2022-12-12,-2.11,46.87498540763707,2.10~50%
A,6515,2022-12-05,-15.68,60.333338785205,3.50~100%
A,8996,2022-12-26,-2.03,73.13435107162431,3.50~100%
A,2404,2022-12-19,-6.15,35.74007163770764,2.10~50%
A,3105,2023-01-09,13.1,58.604648530000226,3.50~100%
A,6415,2023-01-09,8.0,50.92201248820592,3.50~100%
A,6488,2023-01-30,-1.91,61.77209625296215,3.50~100%
A,6719,2023-01-30,-5.26,38.91302508627154,2.10~50%
A,1519,2023-02-20,7.53,56.32491251100543,3.50~100%
A,2383,2023-02-13,-0.08,16.768294136499044,2.10~50%
A,6515,2023-03-06,-5.42,63.42711690490266,3.50~100%
A,5269,2023-03-13,14.83,63.677114609208566,3.50~100%
A,5269,2023-03-20,-5.73,88.34079671849034,3.50~100%
A,2449,2023-03-06,5.32,32.80574786590205,2.10~50%
A,3680,2023-03-27,-5.1,59.447981405238,3.50~100%
A,3231,2023-03-27,6.64,43.05555740506116,2.10~50%
A,3017,2023-04-17,-3.78,53.21282715811753,3.50~100%
A,8086,2023-04-17,-6.53,34.33476670250876,2.10~50%
A,3005,2023-04-17,4.67,41.85688922598232,2.10~50%
A,3017,2023-05-08,-4.43,71.59341903329252,3.50~100%
A,2412,2023-04-24,-1.39,13.004493284278624,2.10~50%
A,1519,2023-05-15,16.92,103.094800392386,4.>100%
A,2382,2023-05-15,15.6,35.70689415987708,2.10~50%
A,1519,2023-05-22,22.22,123.47826089032334,4.>100%
A,2324,2023-05-15,8.42,16.865226752169153,2.10~50%
