exp_id,strategy,ticker,buy_date,pnl_pct,bias_pct,runup60_pct,limitup_streak
2218,A,2383,2024-12-02,18.14,11.68,21.59,0
2218,A,2383,2024-12-16,-3.69,19.05,47.17,0
2218,A,2383,2025-02-10,-3.52,3.47,44.17,0
2218,A,2383,2025-05-26,15.29,8.04,73.71,0
2218,A,2383,2026-02-09,15.65,17.7,58.78,0
2218,A,2383,2026-04-27,-7.64,34.8,203.21,0
2218,A,2395,2022-04-25,-8.44,1.66,7.01,0
2218,A,2395,2022-06-27,-2.7,2.48,8.76,0
2218,A,2395,2024-04-22,-3.7,-4.96,11.16,0
2218,A,2395,2024-07-22,-6.73,2.39,9.49,0
2218,A,2395,2025-02-24,-6.59,4.37,23.7,0
2218,A,2395,2026-03-09,-1.46,10.28,26.87,0
2218,A,2421,2022-10-24,-6.44,7.45,15.67,0
2218,A,2421,2023-07-24,-9.95,39.63,183.82,0
2218,A,2421,2024-01-29,17.24,12.77,25.13,0
2218,A,2449,2021-12-06,-1.81,4.41,22.15,0
2218,A,2449,2023-02-13,15.17,4.91,19.2,0
2218,A,2449,2023-03-13,1.8,10.81,36.04,0
2218,A,2449,2023-05-29,3.29,14.3,26.65,0
2218,A,2449,2024-06-24,-3.62,20.0,36.09,0
2218,A,2449,2024-07-08,-16.84,20.3,57.4,1
2218,A,2449,2025-11-03,-5.26,22.64,93.1,0
2218,A,2449,2026-07-06,-13.48,13.07,29.52,0
2218,A,2454,2021-11-15,0.86,8.81,22.02,0
2218,A,2454,2024-02-26,1.18,15.33,26.85,0
2218,A,2454,2024-05-20,15.69,11.65,23.19,0
2218,A,2454,2025-04-14,-3.08,-1.1,18.14,0
2218,A,2454,2025-12-01,-3.35,15.09,26.2,0
2218,A,2454,2026-04-27,17.16,35.15,66.21,0
2218,A,2454,2026-06-15,-0.71,7.12,205.12,0
2218,A,2455,2021-07-05,-4.19,9.66,49.25,0
2218,A,2455,2026-04-13,15.35,14.06,98.64,0
2218,A,3013,2024-07-15,20.09,20.48,62.98,1
2218,A,3013,2025-10-20,-6.62,9.63,16.81,0
2218,A,3017,2022-05-23,-0.15,6.04,10.89,0
2218,A,3017,2022-07-18,9.92,9.97,25.91,0
2218,A,3017,2023-05-08,-4.43,16.55,66.16,0
2218,A,3017,2024-04-15,-8.51,7.74,95.56,0
2218,A,3017,2025-05-19,0.74,17.0,74.74,0
2218,A,3017,2025-06-16,-2.72,13.81,120.26,0
2218,A,3017,2025-10-27,17.78,6.53,37.66,0
2218,A,3017,2026-03-02,-4.54,13.63,37.89,0
2218,A,3034,2021-03-29,3.84,9.94,55.77,0
2218,A,3034,2021-12-06,4.52,6.23,35.94,0
2218,A,3034,2023-09-11,0.1,6.93,12.32,0
2218,A,3034,2023-11-27,0.39,3.13,25.91,0
2218,A,3034,2024-03-18,-3.23,3.08,23.47,0
2218,A,3035,2021-12-20,9.48,13.9,101.86,0
2218,A,3035,2023-10-16,-5.0,8.75,25.0,0
2218,A,3035,2023-10-30,-7.76,-0.84,16.43,0
2218,A,3035,2024-06-17,-4.26,10.46,19.85,0
2218,A,3037,2021-05-31,18.4,11.87,30.97,0
2218,A,3037,2023-12-04,-4.53,8.42,23.78,0
2218,A,3037,2024-03-25,-3.86,7.87,26.11,0
2218,A,3037,2024-10-28,-0.6,11.22,21.17,0
2218,A,3037,2025-09-15,4.3,2.38,30.68,0
2218,A,3037,2026-02-02,21.46,23.33,128.13,0
2218,A,3044,2022-12-12,-5.16,1.55,16.67,0
2218,A,3044,2023-07-31,15.87,31.3,68.13,0
2218,A,3044,2023-11-13,-3.11,12.46,20.43,0
