ticker,buy_date,pnl_pct,is_grid_trial,streak_day,buy_year,bucket
5269,2021-02-01,1.66,0,1,2021,1.第1天
2330,2021-02-01,2.49,0,1,2021,1.第1天
3529,2021-02-01,5.0,0,1,2021,1.第1天
3443,2021-02-22,-0.91,0,1,2021,1.第1天
6274,2021-02-22,-8.75,0,2,2021,2.第2天
8299,2021-02-22,-1.62,0,3,2021,3.第3天
2368,2021-03-08,-5.19,0,3,2021,3.第3天
2356,2021-03-08,-0.79,0,4,2021,4.第4-5天
2357,2021-03-08,-1.54,0,1,2021,1.第1天
3661,2021-03-15,0.68,0,1,2021,1.第1天
2324,2021-03-15,0.92,0,1,2021,1.第1天
3529,2021-03-15,1.2,0,1,2021,1.第1天
2317,2021-03-22,-2.13,0,1,2021,1.第1天
2308,2021-03-22,-1.12,0,1,2021,1.第1天
2383,2021-03-22,-1.77,0,1,2021,1.第1天
6531,2021-03-29,-2.72,0,0,2021,0.非同買日
3034,2021-03-29,2.06,0,0,2021,0.非同買日
3189,2021-03-29,10.78,0,0,2021,0.非同買日
2376,2021-04-12,2.75,0,2,2021,2.第2天
2303,2021-04-12,-2.27,0,0,2021,0.非同買日
2353,2021-04-12,-0.75,0,1,2021,1.第1天
2308,2021-04-19,0.4,0,1,2021,1.第1天
2376,2021-04-19,-3.76,0,1,2021,1.第1天
2353,2021-04-19,2.0,0,0,2021,0.非同買日
2303,2021-04-26,-3.49,0,1,2021,1.第1天
2376,2021-04-26,2.38,0,2,2021,2.第2天
3533,2021-04-26,-0.21,0,2,2021,2.第2天
3529,2021-05-03,-8.36,0,4,2021,4.第4-5天
3035,2021-05-03,-5.3,0,3,2021,3.第3天
2376,2021-05-03,-1.79,0,1,2021,1.第1天
3533,2021-05-10,-9.79,0,2,2021,2.第2天
2353,2021-05-10,-11.19,0,1,2021,1.第1天
2376,2021-05-10,-19.24,0,0,2021,0.非同買日
5269,2021-05-17,3.19,0,2,2021,2.第2天
3533,2021-05-17,1.15,0,0,2021,0.非同買日
3653,2021-05-17,4.92,0,0,2021,0.非同買日
5269,2021-05-24,8.67,0,1,2021,1.第1天
3653,2021-05-24,3.05,0,1,2021,1.第1天
2059,2021-05-24,-0.73,0,3,2021,3.第3天
5269,2021-05-31,-8.17,0,3,2021,3.第3天
3037,2021-05-31,-2.37,0,2,2021,2.第2天
2368,2021-05-31,3.36,0,1,2021,1.第1天
3653,2021-06-07,-3.32,0,2,2021,2.第2天
8046,2021-06-07,2.08,0,3,2021,3.第3天
3017,2021-06-07,-1.84,0,1,2021,1.第1天
2383,2021-06-21,-0.6,0,2,2021,2.第2天
3443,2021-06-21,-0.6,0,5,2021,4.第4-5天
2368,2021-06-21,7.55,0,1,2021,1.第1天
3035,2021-06-28,-0.86,0,1,2021,1.第1天
2308,2021-06-28,1.41,0,1,2021,1.第1天
2455,2021-06-28,-3.48,0,0,2021,0.非同買日
2308,2021-07-05,-0.76,0,2,2021,2.第2天
2455,2021-07-05,5.86,0,0,2021,0.非同買日
2368,2021-07-05,3.0,0,1,2021,1.第1天
2455,2021-07-12,-1.94,0,1,2021,1.第1天
8046,2021-07-12,0.8,0,1,2021,1.第1天
3443,2021-07-12,-3.82,0,2,2021,2.第2天
3443,2021-07-19,-5.71,0,1,2021,1.第1天
5269,2021-07-19,-1.13,0,0,2021,0.非同買日
4966,2021-07-19,2.15,0,0,2021,0.非同買日
3037,2021-07-26,-6.04,0,1,2021,1.第1天
3661,2021-07-26,-6.13,0,1,2021,1.第1天
3131,2021-07-26,-4.7,0,2,2021,2.第2天
6531,2021-08-02,-5.07,0,1,2021,1.第1天
4966,2021-08-02,-0.6,0,1,2021,1.第1天
3131,2021-08-02,2.46,0,7,2021,5.第6天以上
2303,2021-08-09,-3.81,0,3,2021,3.第3天
2059,2021-08-09,-2.45,0,0,2021,0.非同買日
2356,2021-08-16,-0.6,0,3,2021,3.第3天
3081,2021-08-16,-8.08,0,0,2021,0.非同買日
2059,2021-08-16,-2.21,0,0,2021,0.非同買日
3661,2021-08-23,6.35,0,3,2021,3.第3天
3653,2021-08-23,-2.94,0,1,2021,1.第1天
2324,2021-08-23,0.29,0,1,2021,1.第1天
3189,2021-08-30,-3.99,0,1,2021,1.第1天
5269,2021-08-30,10.39,0,2,2021,2.第2天
2303,2021-08-30,1.46,0,4,2021,4.第4-5天
8046,2021-09-06,-10.13,0,2,2021,2.第2天
3017,2021-09-06,-4.37,0,1,2021,1.第1天
2330,2021-09-06,-2.49,0,2,2021,2.第2天
3443,2021-09-13,2.41,0,2,2021,2.第2天
3044,2021-09-13,-1.45,0,1,2021,1.第1天
3017,2021-09-27,-5.9,0,3,2021,3.第3天
3653,2021-09-27,-0.6,0,1,2021,1.第1天
2356,2021-09-27,-0.98,0,4,2021,4.第4-5天
6282,2021-10-04,-5.09,0,2,2021,2.第2天
2382,2021-10-04,-0.34,0,1,2021,1.第1天
3661,2021-10-18,-2.41,0,3,2021,3.第3天
3653,2021-10-18,9.57,0,3,2021,3.第3天
2353,2021-10-18,3.33,0,3,2021,3.第3天
3189,2021-10-25,1.23,0,2,2021,2.第2天
3037,2021-10-25,13.27,0,1,2021,1.第1天
2353,2021-10-25,-0.6,0,1,2021,1.第1天
3443,2021-11-01,-1.25,0,1,2021,1.第1天
2313,2021-11-01,-4.0,0,2,2021,2.第2天
3653,2021-11-01,0.55,0,2,2021,2.第2天
2376,2021-11-08,3.5,0,1,2021,1.第1天
2357,2021-11-08,1.01,0,2,2021,2.第2天
2382,2021-11-08,0.99,0,1,2021,1.第1天
6669,2021-11-15,3.39,0,3,2021,3.第3天
2454,2021-11-15,-0.11,0,3,2021,3.第3天
5269,2021-11-22,-3.86,0,2,2021,2.第2天
2454,2021-11-22,-4.28,0,3,2021,3.第3天
3533,2021-11-22,-6.07,0,0,2021,0.非同買日
3533,2021-11-29,-4.03,0,4,2021,4.第4-5天
6414,2021-11-29,2.15,0,1,2021,1.第1天
3653,2021-11-29,3.04,0,1,2021,1.第1天
3034,2021-12-06,2.16,0,4,2021,4.第4-5天
2449,2021-12-06,-0.38,0,2,2021,2.第2天
8299,2021-12-13,-4.16,0,1,2021,1.第1天
3105,2021-12-13,-1.12,0,1,2021,1.第1天
3034,2021-12-13,-2.13,0,9,2021,5.第6天以上
3035,2021-12-20,11.31,0,0,2021,0.非同買日
3034,2021-12-20,0.15,0,0,2021,0.非同買日
2353,2021-12-20,-0.6,0,0,2021,0.非同買日
2357,2021-12-27,-0.33,0,1,2021,1.第1天
2324,2021-12-27,-0.19,0,2,2021,2.第2天
6515,2022-01-03,-5.12,0,3,2022,3.第3天
2368,2022-01-03,-2.5,0,1,2022,1.第1天
2308,2022-01-03,2.4,0,1,2022,1.第1天
2324,2022-01-10,-0.4,0,6,2022,5.第6天以上
2356,2022-01-10,-1.57,0,1,2022,1.第1天
2330,2022-01-17,-4.82,0,5,2022,4.第4-5天
2324,2022-01-17,-0.01,0,3,2022,3.第3天
3231,2022-01-17,2.04,0,2,2022,2.第2天
3231,2022-01-24,-0.91,0,4,2022,4.第4-5天
2360,2022-01-24,-3.11,0,1,2022,1.第1天
3044,2022-01-24,-0.98,0,6,2022,5.第6天以上
8210,2022-02-07,1.74,0,3,2022,3.第3天
3231,2022-02-07,0.66,0,1,2022,1.第1天
5269,2022-02-14,-0.6,0,1,2022,1.第1天
8299,2022-02-14,4.89,0,4,2022,4.第4-5天
2353,2022-02-21,-1.09,0,3,2022,3.第3天
2357,2022-02-21,-0.86,0,4,2022,4.第4-5天
2317,2022-02-21,-1.54,0,1,2022,1.第1天
3081,2022-03-07,-4.25,0,2,2022,2.第2天
8996,2022-03-07,9.47,0,0,2022,0.非同買日
6669,2022-03-14,-8.8,0,2,2022,2.第2天
2455,2022-03-14,-3.55,0,1,2022,1.第1天
3711,2022-03-14,-2.74,0,1,2022,1.第1天
2353,2022-03-21,0.88,0,2,2022,2.第2天
2368,2022-03-21,2.96,0,4,2022,4.第4-5天
3653,2022-03-28,0.86,0,3,2022,3.第3天
3035,2022-03-28,-0.12,0,3,2022,3.第3天
2368,2022-03-28,3.42,0,1,2022,1.第1天
2059,2022-04-11,-0.48,0,0,2022,0.非同買日
6414,2022-04-18,6.45,0,1,2022,1.第1天
3533,2022-04-18,2.02,0,0,2022,0.非同買日
2356,2022-04-18,-1.38,0,0,2022,0.非同買日
2395,2022-04-25,-2.99,0,1,2022,1.第1天
2317,2022-05-09,-1.55,0,7,2022,5.第6天以上
3443,2022-05-09,6.44,0,0,2022,0.非同買日
2356,2022-05-09,-0.79,0,0,2022,0.非同買日
6515,2022-05-16,-2.88,0,2,2022,2.第2天
2356,2022-05-16,-1.54,0,1,2022,1.第1天
3017,2022-05-23,4.73,0,1,2022,1.第1天
2317,2022-05-23,0.78,0,7,2022,5.第6天以上
3711,2022-05-30,-0.6,0,2,2022,2.第2天
4966,2022-05-30,-0.92,0,2,2022,2.第2天
2454,2022-05-30,2.46,0,2,2022,2.第2天
3105,2022-06-06,-5.27,0,1,2022,1.第1天
2317,2022-06-06,-1.89,0,1,2022,1.第1天
2345,2022-06-13,1.09,0,0,2022,0.非同買日
3533,2022-06-13,-0.47,0,0,2022,0.非同買日
3044,2022-06-13,1.52,0,0,2022,0.非同買日
2368,2022-06-27,-1.76,0,1,2022,1.第1天
2395,2022-06-27,-1.72,0,2,2022,2.第2天
6282,2022-07-11,-1.26,0,2,2022,2.第2天
3017,2022-07-11,-2.21,0,0,2022,0.非同買日
2308,2022-07-11,3.73,0,0,2022,0.非同買日
3017,2022-07-18,0.36,0,1,2022,1.第1天
2313,2022-07-18,1.24,0,3,2022,3.第3天
3380,2022-07-25,-1.56,0,1,2022,1.第1天
3711,2022-07-25,-0.01,0,5,2022,4.第4-5天
3711,2022-08-01,-0.94,0,1,2022,1.第1天
2382,2022-08-01,-0.47,0,1,2022,1.第1天
3081,2022-08-08,5.1,0,1,2022,1.第1天
3231,2022-08-08,1.2,0,2,2022,2.第2天
2345,2022-08-15,1.36,0,1,2022,1.第1天
2303,2022-08-15,-2.08,0,3,2022,3.第3天
2353,2022-08-22,-2.14,0,1,2022,1.第1天
2324,2022-08-22,-1.03,0,2,2022,2.第2天
3661,2022-08-29,-2.42,0,1,2022,1.第1天
3529,2022-08-29,-4.73,0,1,2022,1.第1天
2313,2022-08-29,1.32,0,0,2022,0.非同買日
2382,2022-09-05,-0.47,0,1,2022,1.第1天
2376,2022-09-12,-0.71,0,2,2022,2.第2天
2345,2022-09-12,0.1,0,3,2022,3.第3天
2376,2022-09-19,-6.13,0,1,2022,1.第1天
3533,2022-09-19,-1.34,0,0,2022,0.非同買日
2368,2022-09-26,-8.59,0,0,2022,0.非同買日
2353,2022-10-03,3.04,0,2,2022,2.第2天
2308,2022-10-17,-0.78,0,1,2022,1.第1天
3289,2022-10-17,1.85,0,4,2022,4.第4-5天
2421,2022-10-24,-6.44,0,2,2022,2.第2天
2303,2022-10-24,-3.88,0,3,2022,3.第3天
3587,2022-10-31,-2.77,0,1,2022,1.第1天
2356,2022-10-31,-2.84,0,1,2022,1.第1天
6643,2022-11-07,1.64,0,1,2022,1.第1天
2353,2022-11-07,-0.6,0,5,2022,4.第4-5天
3529,2022-11-14,7.1,0,3,2022,3.第3天
3035,2022-11-14,1.53,0,2,2022,2.第2天
3711,2022-11-21,1.09,0,4,2022,4.第4-5天
2357,2022-11-21,2.1,0,2,2022,2.第2天
5269,2022-11-28,-1.4,0,1,2022,1.第1天
3661,2022-11-28,3.53,0,1,2022,1.第1天
8046,2022-12-05,-10.84,0,3,2022,3.第3天
3037,2022-12-05,-10.18,0,1,2022,1.第1天
3587,2022-12-12,-1.5,0,0,2022,0.非同買日
3044,2022-12-12,-0.19,0,1,2022,1.第1天
3443,2022-12-19,-8.8,0,2,2022,2.第2天
3231,2022-12-19,-2.06,0,2,2022,2.第2天
2356,2022-12-26,-0.6,0,1,2022,1.第1天
2324,2022-12-26,-0.81,0,2,2022,2.第2天
3105,2023-01-09,6.69,0,2,2023,2.第2天
2455,2023-01-09,-0.35,0,2,2023,2.第2天
3105,2023-01-16,7.73,0,1,2023,1.第1天
5269,2023-01-16,8.97,0,2,2023,2.第2天
2303,2023-01-30,0.32,0,2,2023,2.第2天
8210,2023-01-30,1.94,0,6,2023,5.第6天以上
3529,2023-02-06,-2.03,0,1,2023,1.第1天
3661,2023-02-06,6.33,0,1,2023,1.第1天
2449,2023-02-13,0.76,0,2,2023,2.第2天
2353,2023-02-13,-0.21,0,1,2023,1.第1天
6531,2023-02-20,-5.39,0,1,2023,1.第1天
3034,2023-02-20,-0.23,0,1,2023,1.第1天
2449,2023-02-20,-0.72,0,2,2023,2.第2天
2449,2023-03-06,2.2,0,4,2023,4.第4-5天
2345,2023-03-06,-2.39,0,4,2023,4.第4-5天
2449,2023-03-13,1.69,0,9,2023,5.第6天以上
6531,2023-03-13,-1.27,0,1,2023,1.第1天
6531,2023-03-20,-0.9,0,2,2023,2.第2天
6274,2023-03-20,-1.3,0,2,2023,2.第2天
3653,2023-03-27,-4.37,0,1,2023,1.第1天
2356,2023-03-27,0.37,0,3,2023,3.第3天
2455,2023-04-10,-2.49,0,2,2023,2.第2天
3653,2023-04-10,0.73,0,1,2023,1.第1天
2345,2023-04-17,1.47,0,2,2023,2.第2天
3324,2023-04-17,-3.77,0,1,2023,1.第1天
6830,2023-04-24,-2.54,0,2,2023,2.第2天
2368,2023-04-24,-3.63,0,1,2023,1.第1天
3017,2023-05-08,-2.24,0,3,2023,3.第3天
3037,2023-05-08,-2.45,0,2,2023,2.第2天
2382,2023-05-15,2.36,0,5,2023,4.第4-5天
