bucket,n,mean,median,win_rate
0.非同買日,1631,0.06160637645616187,-0.6,43.34763948497854
1.第1天,209,1.1349282296650718,-0.06,49.760765550239235
2.第2天,337,0.577566765578635,0.01,50.14836795252226
3.第3天,217,-0.34152073732718896,-0.41,42.857142857142854
4.第4-5天,152,-0.5034868421052632,-0.8600000000000001,36.84210526315789
5.第6天以上,48,-0.895625,-0.6,39.58333333333333
