bucket,n,mean,median,p25,p75,win_rate
0.非同買日,75108,0.7451971827235447,-1.33,-5.2,5.0,42.4029397667359
1.第1天,203514,1.214071022140983,-0.97,-4.37,4.98,42.79361616399854
2.第2天,131263,1.0948850018664817,-0.93,-4.04,4.24,43.54844853462133
3.第3天,56870,0.6333101811148233,-1.02,-4.72,4.19,43.432389660629504
4.第4-5天,37514,0.9635882603827906,-0.18,-4.31,4.47,48.84309857653143
5.第6天以上,10466,0.7654777374355054,-0.6,-2.65,2.86,43.61742786164724
