scheme,bigbuy_n,bigbuy_mean,bigbuy_winrate,normal_n,normal_mean,gap(大買-一般同買)
"equal(1,1)",1584,0.27719065656565656,45.51767676767677,767,-0.23573663624511082,0.513
"trust_only(0,1)",1359,0.21202354672553347,45.47461368653421,992,-0.0301209677419355,0.242
"foreign_only(1,0)",1295,0.37966023166023166,46.795366795366796,1056,-0.2210227272727273,0.601
"trust_heavy(0.5,1.5)",1613,0.24890886546807192,45.44327340359578,738,-0.1940785907859079,0.443
"foreign_heavy(1.5,0.5)",1422,0.29076652601969055,46.20253164556962,929,-0.16707212055974166,0.458
