label,total_return,mdd,win_rate,profit_factor,trades
baseline (不限制streak_day，現行系統真實行為),215.49,33.03,41.08,1.54,959
streak_1_2 (只准同買第1~2天進場),164.41,36.48,39.64,1.46,936
streak_1 (只准同買第1天進場，最嚴格版),201.62,29.0,38.93,1.37,917
streak_3plus (只准同買第3天以上進場，反向對照組),-10.12,61.25,37.75,1.11,249
