項目,修正前,修正後,說明
案例⑤_baseline_regime_v1,522.18%,409.67%,MDD 22.25%->24.45%, 勝率53.11%->49.49%, 交易數273->297
案例⑦_dualsell疊加版,468.71%,359.34%,MDD 17.48%->27.59%（明顯惡化）, 交易數465->471
案例⑦_48組窮舉冠軍_總報酬,692.64%,651.37%,冠軍配置改變：原本含土洋雙賣，修正後最佳配置拿掉土洋雙賣
案例⑦_48組窮舉冠軍_MDD,24.17%,38.26%,風控明顯惡化，原冠軍配置(含土洋雙賣)修正後降為408.07%
