day_bucket,is_bigbuy,n,mean,win_rate
1.第1天,False,400,-0.23315000000000002,45.0
1.第1天,True,882,0.3297732426303855,45.91836734693878
2.第2天,False,201,-0.31776119402985076,46.766169154228855
2.第2天,True,429,0.6092307692307691,46.85314685314685
3.第3天,False,86,0.3580232558139534,50.0
3.第3天,True,146,-0.40773972602739733,43.83561643835616
4.第4-5天,False,57,-0.41228070175438597,36.84210526315789
4.第4-5天,True,99,-0.43888888888888883,36.36363636363637
5.第6天以上,False,23,-1.346521739130435,34.78260869565217
5.第6天以上,True,28,-0.36321428571428577,53.57142857142857
