label,total_return,mdd,win_rate,profit_factor,trades
baseline (現行系統，不管買超金額大小),215.49,33.03,41.08,1.54,959
bigbuy_loose (硬性濾網，前25%/75th百分位),187.03,33.2,39.66,1.43,928
bigbuy_strict (硬性濾網，前10%/90th百分位),154.81,42.01,39.49,1.35,818
bigbuy_soft_boost (軟性加權，大買momentum+0.05，不排除其他訊號),196.65,39.33,40.88,1.51,959
